Initialising trial 0, Alpha policy = 0.0006177587023066247, Alpha baseline = 2.3625829680051183e-06

Trial 1, Step: 490	Avg: -9413.208441671504	Alpha_policy: 0.0005882167378145519	Alpha_baseline: 2.2496014075839036e-06
Trial 1, Step: 500	Avg: -9361.225454515326	Alpha_policy: 0.0005876287857036958	Alpha_baseline: 2.247352818227049e-06
[I 2019-11-15 19:47:23,650] Finished trial#0 resulted in value: -9361.225454515326. Current best value is -9361.225454515326 with parameters: {'alpha_policy': 0.0006177587023066247, 'alpha_baseline': 2.3625829680051183e-06}.
Initialising trial 1, Alpha policy = 9.824187582786641e-06, Alpha baseline = 1.0739600029367916e-05

Trial 2, Step: 10	Avg: -9941.24260046794	Alpha_policy: 9.814367814909574e-06	Alpha_baseline: 1.0728865260870038e-05
Trial 2, Step: 20	Avg: -9933.518182510175	Alpha_policy: 9.804557862382663e-06	Alpha_baseline: 1.0718141222311299e-05
Trial 2, Step: 30	Avg: -9861.955599611805	Alpha_policy: 9.794757715394981e-06	Alpha_baseline: 1.0707427902966587e-05
Trial 2, Step: 40	Avg: -9794.633599761895	Alpha_policy: 9.784967364145395e-06	Alpha_baseline: 1.0696725292121511e-05
Trial 2, Step: 50	Avg: -9705.33191572082	Alpha_policy: 9.775186798842574e-06	Alpha_baseline: 1.068603337907239e-05
Trial 2, Step: 60	Avg: -9723.127466500726	Alpha_policy: 9.765416009704975e-06	Alpha_baseline: 1.0675352153126238e-05
Trial 2, Step: 70	Avg: -9685.431793040294	Alpha_policy: 9.75565498696083e-06	Alpha_baseline: 1.0664681603600763e-05
Trial 2, Step: 80	Avg: -9601.542020583103	Alpha_policy: 9.745903720848143e-06	Alpha_baseline: 1.0654021719824347e-05
Trial 2, Step: 90	Avg: -9502.41917374653	Alpha_policy: 9.736162201614664e-06	Alpha_baseline: 1.064337249113604e-05
Trial 2, Step: 100	Avg: -9433.31648148808	Alpha_policy: 9.726430419517905e-06	Alpha_baseline: 1.0632733906885543e-05
Trial 2, Step: 110	Avg: -9310.125429788035	Alpha_policy: 9.716708364825107e-06	Alpha_baseline: 1.0622105956433212e-05
Trial 2, Step: 120	Avg: -9376.089804695896	Alpha_policy: 9.706996027813244e-06	Alpha_baseline: 1.0611488629150033e-05
Trial 2, Step: 130	Avg: -9363.187182997532	Alpha_policy: 9.697293398769007e-06	Alpha_baseline: 1.0600881914417612e-05
Trial 2, Step: 140	Avg: -9424.077903167103	Alpha_policy: 9.687600467988797e-06	Alpha_baseline: 1.0590285801628171e-05
Trial 2, Step: 150	Avg: -9319.930279022841	Alpha_policy: 9.677917225778712e-06	Alpha_baseline: 1.0579700280184541e-05
Trial 2, Step: 160	Avg: -9380.389548354598	Alpha_policy: 9.668243662454537e-06	Alpha_baseline: 1.0569125339500141e-05
Trial 2, Step: 170	Avg: -9217.4678560976	Alpha_policy: 9.658579768341747e-06	Alpha_baseline: 1.0558560968998973e-05
Trial 2, Step: 180	Avg: -9134.044238726456	Alpha_policy: 9.648925533775474e-06	Alpha_baseline: 1.0548007158115605e-05
Trial 2, Step: 190	Avg: -9205.24623094464	Alpha_policy: 9.639280949100522e-06	Alpha_baseline: 1.053746389629517e-05
Trial 2, Step: 200	Avg: -9262.745038280646	Alpha_policy: 9.629646004671339e-06	Alpha_baseline: 1.0526931172993358e-05
Trial 2, Step: 210	Avg: -9232.165349239716	Alpha_policy: 9.620020690852012e-06	Alpha_baseline: 1.051640897767638e-05
Trial 2, Step: 220	Avg: -9194.453894098104	Alpha_policy: 9.610404998016273e-06	Alpha_baseline: 1.0505897299820995e-05
Trial 2, Step: 230	Avg: -9173.636643229182	Alpha_policy: 9.60079891654746e-06	Alpha_baseline: 1.0495396128914471e-05
Trial 2, Step: 240	Avg: -9088.16317313779	Alpha_policy: 9.591202436838533e-06	Alpha_baseline: 1.0484905454454588e-05
Trial 2, Step: 250	Avg: -9135.574449485535	Alpha_policy: 9.581615549292048e-06	Alpha_baseline: 1.0474425265949622e-05
Trial 2, Step: 260	Avg: -9218.229026935102	Alpha_policy: 9.572038244320165e-06	Alpha_baseline: 1.0463955552918334e-05
Trial 2, Step: 270	Avg: -9210.59592787962	Alpha_policy: 9.562470512344612e-06	Alpha_baseline: 1.0453496304889962e-05
Trial 2, Step: 280	Avg: -9224.944777158971	Alpha_policy: 9.552912343796698e-06	Alpha_baseline: 1.0443047511404207e-05
Trial 2, Step: 290	Avg: -9258.25940637996	Alpha_policy: 9.543363729117307e-06	Alpha_baseline: 1.0432609162011238e-05
Trial 2, Step: 300	Avg: -9273.163102823644	Alpha_policy: 9.533824658756863e-06	Alpha_baseline: 1.0422181246271658e-05
Trial 2, Step: 310	Avg: -9315.512772718686	Alpha_policy: 9.524295123175344e-06	Alpha_baseline: 1.0411763753756505e-05
Trial 2, Step: 320	Avg: -9305.94488277003	Alpha_policy: 9.51477511284226e-06	Alpha_baseline: 1.0401356674047247e-05
Trial 2, Step: 330	Avg: -9298.717336416485	Alpha_policy: 9.505264618236646e-06	Alpha_baseline: 1.0390959996735759e-05
Trial 2, Step: 340	Avg: -9330.851566540641	Alpha_policy: 9.495763629847056e-06	Alpha_baseline: 1.0380573711424327e-05
Trial 2, Step: 350	Avg: -9316.92821210829	Alpha_policy: 9.48627213817155e-06	Alpha_baseline: 1.0370197807725624e-05
Trial 2, Step: 360	Avg: -9295.36494778023	Alpha_policy: 9.47679013371769e-06	Alpha_baseline: 1.0359832275262707e-05
Trial 2, Step: 370	Avg: -9203.68952978734	Alpha_policy: 9.467317607002517e-06	Alpha_baseline: 1.0349477103669005e-05
Trial 2, Step: 380	Avg: -9142.537072129795	Alpha_policy: 9.457854548552559e-06	Alpha_baseline: 1.033913228258831e-05
Trial 2, Step: 390	Avg: -9166.234200520663	Alpha_policy: 9.44840094890381e-06	Alpha_baseline: 1.0328797801674775e-05
Trial 2, Step: 400	Avg: -9078.776104505501	Alpha_policy: 9.438956798601723e-06	Alpha_baseline: 1.0318473650592875e-05
Trial 2, Step: 410	Avg: -9094.358159588939	Alpha_policy: 9.429522088201206e-06	Alpha_baseline: 1.030815981901743e-05
Trial 2, Step: 420	Avg: -9018.811134081801	Alpha_policy: 9.4200968082666e-06	Alpha_baseline: 1.029785629663357e-05
Trial 2, Step: 430	Avg: -8935.022976376365	Alpha_policy: 9.410680949371685e-06	Alpha_baseline: 1.0287563073136745e-05
Trial 2, Step: 440	Avg: -9036.853869538556	Alpha_policy: 9.401274502099657e-06	Alpha_baseline: 1.0277280138232703e-05
Trial 2, Step: 450	Avg: -9098.304891277578	Alpha_policy: 9.391877457043128e-06	Alpha_baseline: 1.0267007481637477e-05
Trial 2, Step: 460	Avg: -9184.523106548326	Alpha_policy: 9.382489804804115e-06	Alpha_baseline: 1.025674509307738e-05
Trial 2, Step: 470	Avg: -9156.823896616044	Alpha_policy: 9.373111535994023e-06	Alpha_baseline: 1.0246492962289004e-05
Trial 2, Step: 480	Avg: -9109.074475339166	Alpha_policy: 9.363742641233645e-06	Alpha_baseline: 1.0236251079019182e-05
Trial 2, Step: 490	Avg: -9194.262925328927	Alpha_policy: 9.354383111153149e-06	Alpha_baseline: 1.0226019433025018e-05
Trial 2, Step: 500	Avg: -9200.415699071964	Alpha_policy: 9.345032936392066e-06	Alpha_baseline: 1.0215798014073831e-05
Initialising trial 2, Alpha policy = 5.9514204839946694e-05, Alpha baseline = 0.0009575229964542281

[I 2019-11-15 20:19:44,408] Finished trial#1 resulted in value: -9200.415699071964. Current best value is -9200.415699071964 with parameters: {'alpha_policy': 9.824187582786641e-06, 'alpha_baseline': 1.0739600029367916e-05}.
Trial 3, Step: 10	Avg: -9877.910674066543	Alpha_policy: 5.9454717409358486e-05	Alpha_baseline: 0.0009565659042282397
Trial 3, Step: 20	Avg: -9805.83460207587	Alpha_policy: 5.939528943943865e-05	Alpha_baseline: 0.0009556097686639005
Trial 3, Step: 30	Avg: -9612.071740649673	Alpha_policy: 5.933592087075329e-05	Alpha_baseline: 0.0009546545888049795
Trial 3, Step: 40	Avg: -9649.164635854197	Alpha_policy: 5.927661164392787e-05	Alpha_baseline: 0.0009537003636962011
Trial 3, Step: 50	Avg: -9653.496656351435	Alpha_policy: 5.921736169964723e-05	Alpha_baseline: 0.0009527470923832447
Trial 3, Step: 60	Avg: -9564.34228707362	Alpha_policy: 5.915817097865551e-05	Alpha_baseline: 0.0009517947739127436
Trial 3, Step: 70	Avg: -9480.632779884028	Alpha_policy: 5.909903942175606e-05	Alpha_baseline: 0.0009508434073322838
Trial 3, Step: 80	Avg: -9395.514948096261	Alpha_policy: 5.903996696981141e-05	Alpha_baseline: 0.0009498929916904035
Trial 3, Step: 90	Avg: -9343.415959704742	Alpha_policy: 5.8980953563743186e-05	Alpha_baseline: 0.0009489435260365924
Trial 3, Step: 100	Avg: -9349.37177784448	Alpha_policy: 5.892199914453208e-05	Alpha_baseline: 0.0009479950094212892
Trial 3, Step: 110	Avg: -9377.906184751577	Alpha_policy: 5.886310365321776e-05	Alpha_baseline: 0.0009470474408958828
Trial 3, Step: 120	Avg: -9403.359798663403	Alpha_policy: 5.880426703089886e-05	Alpha_baseline: 0.0009461008195127097
Trial 3, Step: 130	Avg: -9281.282538025174	Alpha_policy: 5.8745489218732854e-05	Alpha_baseline: 0.0009451551443250539
Trial 3, Step: 140	Avg: -9350.004810394146	Alpha_policy: 5.868677015793605e-05	Alpha_baseline: 0.0009442104143871452
Trial 3, Step: 150	Avg: -9317.447152775274	Alpha_policy: 5.86281097897835e-05	Alpha_baseline: 0.0009432666287541592
Trial 3, Step: 160	Avg: -9262.488090447832	Alpha_policy: 5.8569508055608984e-05	Alpha_baseline: 0.000942323786482216
Trial 3, Step: 170	Avg: -9258.979949901395	Alpha_policy: 5.85109648968049e-05	Alpha_baseline: 0.0009413818866283787
Trial 3, Step: 180	Avg: -9329.834749468693	Alpha_policy: 5.8452480254822214e-05	Alpha_baseline: 0.0009404409282506534
Trial 3, Step: 190	Avg: -9313.0520531257	Alpha_policy: 5.8394054071170444e-05	Alpha_baseline: 0.0009395009104079874
Trial 3, Step: 200	Avg: -9259.496272885153	Alpha_policy: 5.833568628741756e-05	Alpha_baseline: 0.0009385618321602689
Trial 3, Step: 210	Avg: -9261.99137899012	Alpha_policy: 5.827737684518992e-05	Alpha_baseline: 0.0009376236925683256
Trial 3, Step: 220	Avg: -9172.068406777387	Alpha_policy: 5.8219125686172264e-05	Alpha_baseline: 0.0009366864906939237
Trial 3, Step: 230	Avg: -9135.774922992208	Alpha_policy: 5.816093275210759e-05	Alpha_baseline: 0.0009357502255997679
Trial 3, Step: 240	Avg: -9119.28003158105	Alpha_policy: 5.810279798479716e-05	Alpha_baseline: 0.0009348148963494994
Trial 3, Step: 250	Avg: -9163.651582459583	Alpha_policy: 5.804472132610034e-05	Alpha_baseline: 0.0009338805020076951
Trial 3, Step: 260	Avg: -9161.015882714468	Alpha_policy: 5.7986702717934694e-05	Alpha_baseline: 0.0009329470416398675
Trial 3, Step: 270	Avg: -8951.853567346197	Alpha_policy: 5.7928742102275794e-05	Alpha_baseline: 0.0009320145143124625
Trial 3, Step: 280	Avg: -9007.882646704626	Alpha_policy: 5.787083942115724e-05	Alpha_baseline: 0.0009310829190928595
Trial 3, Step: 290	Avg: -8961.382837991385	Alpha_policy: 5.781299461667054e-05	Alpha_baseline: 0.0009301522550493699
Trial 3, Step: 300	Avg: -9031.136485132	Alpha_policy: 5.775520763096511e-05	Alpha_baseline: 0.0009292225212512367
Trial 3, Step: 310	Avg: -9057.169860928356	Alpha_policy: 5.7697478406248176e-05	Alpha_baseline: 0.0009282937167686328
Trial 3, Step: 320	Avg: -9079.576810445544	Alpha_policy: 5.763980688478474e-05	Alpha_baseline: 0.0009273658406726612
Trial 3, Step: 330	Avg: -9017.618555420218	Alpha_policy: 5.7582193008897485e-05	Alpha_baseline: 0.0009264388920353525
Trial 3, Step: 340	Avg: -9111.551830700788	Alpha_policy: 5.752463672096679e-05	Alpha_baseline: 0.0009255128699296655
Trial 3, Step: 350	Avg: -9115.319665370294	Alpha_policy: 5.74671379634306e-05	Alpha_baseline: 0.0009245877734294852
Trial 3, Step: 360	Avg: -9135.606655307178	Alpha_policy: 5.740969667878441e-05	Alpha_baseline: 0.0009236636016096226
Trial 3, Step: 370	Avg: -9135.384520449326	Alpha_policy: 5.735231280958118e-05	Alpha_baseline: 0.0009227403535458135
Trial 3, Step: 380	Avg: -9169.71466397815	Alpha_policy: 5.729498629843129e-05	Alpha_baseline: 0.0009218180283147177
Trial 3, Step: 390	Avg: -9249.104824959175	Alpha_policy: 5.723771708800252e-05	Alpha_baseline: 0.0009208966249939169
Trial 3, Step: 400	Avg: -9236.65195453548	Alpha_policy: 5.718050512101988e-05	Alpha_baseline: 0.0009199761426619163
Trial 3, Step: 410	Avg: -9183.704297078159	Alpha_policy: 5.7123350340265704e-05	Alpha_baseline: 0.0009190565803981409
Trial 3, Step: 420	Avg: -9261.756798370776	Alpha_policy: 5.7066252688579485e-05	Alpha_baseline: 0.0009181379372829366
Trial 3, Step: 430	Avg: -9332.34608144942	Alpha_policy: 5.700921210885787e-05	Alpha_baseline: 0.0009172202123975681
Trial 3, Step: 440	Avg: -9348.98485710233	Alpha_policy: 5.6952228544054564e-05	Alpha_baseline: 0.0009163034048242191
Trial 3, Step: 450	Avg: -9411.12395213435	Alpha_policy: 5.689530193718029e-05	Alpha_baseline: 0.0009153875136459899
Trial 3, Step: 460	Avg: -9284.554276553361	Alpha_policy: 5.683843223130275e-05	Alpha_baseline: 0.0009144725379468978
Trial 3, Step: 470	Avg: -9245.288515436469	Alpha_policy: 5.6781619369546554e-05	Alpha_baseline: 0.0009135584768118754
Trial 3, Step: 480	Avg: -9312.889630509953	Alpha_policy: 5.672486329509312e-05	Alpha_baseline: 0.0009126453293267703
Trial 3, Step: 490	Avg: -9221.258822347525	Alpha_policy: 5.666816395118072e-05	Alpha_baseline: 0.0009117330945783434
Trial 3, Step: 500	Avg: -9295.720437859854	Alpha_policy: 5.6611521281104346e-05	Alpha_baseline: 0.0009108217716542688
Initialising trial 3, Alpha policy = 0.00984502302331942, Alpha baseline = 4.16146532288387e-06

[I 2019-11-15 20:51:36,878] Finished trial#2 resulted in value: -9295.720437859854. Current best value is -9200.415699071964 with parameters: {'alpha_policy': 9.824187582786641e-06, 'alpha_baseline': 1.0739600029367916e-05}.
Trial 4, Step: 10	Avg: -9905.545858875339	Alpha_policy: 0.009835182429375264	Alpha_baseline: 4.157305729721093e-06
Trial 4, Step: 20	Avg: -9888.998884926961	Alpha_policy: 0.009825351671597968	Alpha_baseline: 4.15315029428016e-06
Trial 4, Step: 30	Avg: -9848.954934004096	Alpha_policy: 0.00981553074015579	Alpha_baseline: 4.148999012405222e-06
Trial 4, Step: 40	Avg: -9741.35817184663	Alpha_policy: 0.00980571962522681	Alpha_baseline: 4.14485187994458e-06
Trial 4, Step: 50	Avg: -9686.806634596185	Alpha_policy: 0.009795918316998936	Alpha_baseline: 4.140708892750686e-06
Trial 4, Step: 60	Avg: -9628.431634637906	Alpha_policy: 0.009786126805669875	Alpha_baseline: 4.136570046680139e-06
Trial 4, Step: 70	Avg: -9596.726115451671	Alpha_policy: 0.00977634508144714	Alpha_baseline: 4.13243533759368e-06
Trial 4, Step: 80	Avg: -9439.745082810101	Alpha_policy: 0.009766573134548024	Alpha_baseline: 4.128304761356181e-06
Trial 4, Step: 90	Avg: -9386.928867833227	Alpha_policy: 0.009756810955199605	Alpha_baseline: 4.124178313836659e-06
Trial 4, Step: 100	Avg: -9393.35639678789	Alpha_policy: 0.009747058533638721	Alpha_baseline: 4.120055990908249e-06
Trial 4, Step: 110	Avg: -9380.384702496307	Alpha_policy: 0.009737315860111978	Alpha_baseline: 4.115937788448217e-06
Trial 4, Step: 120	Avg: -9392.891025772838	Alpha_policy: 0.009727582924875732	Alpha_baseline: 4.111823702337947e-06
Trial 4, Step: 130	Avg: -9409.830193422413	Alpha_policy: 0.009717859718196066	Alpha_baseline: 4.107713728462942e-06
Trial 4, Step: 140	Avg: -9392.458227639918	Alpha_policy: 0.009708146230348802	Alpha_baseline: 4.103607862712816e-06
Trial 4, Step: 150	Avg: -9337.44960503764	Alpha_policy: 0.009698442451619483	Alpha_baseline: 4.099506100981295e-06
Trial 4, Step: 160	Avg: -9380.211299006034	Alpha_policy: 0.009688748372303357	Alpha_baseline: 4.095408439166204e-06
Trial 4, Step: 170	Avg: -9347.502034018353	Alpha_policy: 0.009679063982705377	Alpha_baseline: 4.091314873169473e-06
Trial 4, Step: 180	Avg: -9366.73508553795	Alpha_policy: 0.009669389273140183	Alpha_baseline: 4.087225398897126e-06
Trial 4, Step: 190	Avg: -9271.9881764645	Alpha_policy: 0.00965972423393209	Alpha_baseline: 4.0831400122592774e-06
Trial 4, Step: 200	Avg: -9229.077461714163	Alpha_policy: 0.0096500688554151	Alpha_baseline: 4.079058709170132e-06
Trial 4, Step: 210	Avg: -9228.64927169463	Alpha_policy: 0.009640423127932863	Alpha_baseline: 4.074981485547979e-06
Trial 4, Step: 220	Avg: -9260.060499020225	Alpha_policy: 0.00963078704183869	Alpha_baseline: 4.0709083373151855e-06
Trial 4, Step: 230	Avg: -9314.66973172293	Alpha_policy: 0.00962116058749553	Alpha_baseline: 4.066839260398198e-06
Trial 4, Step: 240	Avg: -9285.397858604078	Alpha_policy: 0.009611543755275963	Alpha_baseline: 4.0627742507275325e-06
